stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
01_1_S1,STOP_01_1_S1,,21.048408,105.878335,,
01_1_S2,STOP_01_1_S2,,21.049949,105.883307,,
01_1_S3,STOP_01_1_S3,,21.045799,105.875123,,
01_1_S4,STOP_01_1_S4,,21.042601,105.870286,,
01_1_S5,STOP_01_1_S5,,21.041366,105.849457,,
01_1_S6,STOP_01_1_S6,,21.037449,105.846857,,
01_1_S7,STOP_01_1_S7,,21.031316,105.847041,,
01_1_S8,STOP_01_1_S8,,21.026850,105.847457,,
01_1_S9,STOP_01_1_S9,,21.026433,105.846243,,
01_1_S10,STOP_01_1_S10,,21.025799,105.841261,,
01_1_S11,STOP_01_1_S11,,21.023535,105.841270,,
01_1_S12,STOP_01_1_S12,,21.019377,105.837823,,
01_1_S13,STOP_01_1_S13,,21.019613,105.833925,,
01_1_S14,STOP_01_1_S14,,21.016060,105.828116,,
01_1_S15,STOP_01_1_S15,,21.011350,105.825174,,
01_1_S16,STOP_01_1_S16,,21.007383,105.822975,,
01_1_S17,STOP_01_1_S17,,21.000167,105.815075,,
01_1_S18,STOP_01_1_S18,,20.996184,105.809091,,
01_1_S19,STOP_01_1_S19,,20.993834,105.805641,,
01_1_S20,STOP_01_1_S20,,20.990717,105.801225,,
01_1_S21,STOP_01_1_S21,,20.988413,105.798049,,
01_1_S22,STOP_01_1_S22,,20.986134,105.794823,,
01_1_S23,STOP_01_1_S23,,20.983697,105.791504,,
01_1_S24,STOP_01_1_S24,,20.980652,105.787742,,
01_1_S25,STOP_01_1_S25,,20.979526,105.786296,,
01_1_S26,STOP_01_1_S26,,20.975734,105.781392,,
01_1_S27,STOP_01_1_S27,,20.972782,105.777367,,
01_1_S28,STOP_01_1_S28,,20.969769,105.773702,,
01_1_S29,STOP_01_1_S29,,20.967801,105.771226,,
01_1_S30,STOP_01_1_S30,,20.965034,105.767626,,
01_1_S31,STOP_01_1_S31,,20.962284,105.764126,,
01_1_S32,STOP_01_1_S32,,20.960421,105.761730,,
01_1_S33,STOP_01_1_S33,,20.958336,105.759022,,
01_1_S34,STOP_01_1_S34,,20.954324,105.753744,,
01_1_S35,STOP_01_1_S35,,20.952318,105.751059,,
01_1_S36,STOP_01_1_S36,,20.950059,105.747245,,
01_2_S1,STOP_01_2_S1,,20.950059,105.747245,,
